Idiom,Meaning
큰 고기는 중간 고기를 먹고 중간 고기는 작은 고기를 먹는다,좀 더 강한 자가 약한 자를 억누르거나 희생시킨다는 말.
큰 고기를 낚기 위하여 작은 미끼를 아끼지 말라,큰일을 이루기 위하여서는 작은 이익 정도는 희생하며 대담하게 행동하여야 함을 이르는 말.
큰 나무 밑에 작은 나무 큰지 모른다,크거나 뛰어나게 우수한 것과 나란히 있게 되어 그 우월성이 드러나기 힘듦을 비유적으로 이르는 말.
큰 내에 물이 마르지 않는다,원천이 풍부한 물건이나 근원이 깊은 사물은 쉽게 없어지지 아니함을 비유적으로 이르는 말.
큰 도적이 좀도적 잡는 시늉 한다,권력을 가진 사람이 자기는 닥치는 대로 재물을 긁어모으면서도 밑의 사람들의 부정행위는 엄격히 다스림을 비유적으로 이르는 말.
큰 둑도 개미구멍으로 무너진다,"작은 결점이라 하여 등한히 하면 그것이 점점 더 커져서 나중에는 큰 결함을 가져오게 됨을 비유적으로 이르는 말.,작은 힘으로도 큰일을 이룰 수 있음을 비유적으로 이르는 말."
큰 말이 나가면 작은 말이 큰 말 노릇 한다,윗사람이 없으면 아랫사람이 그 일을 대신할 수 있음을 비유적으로 이르는 말.
큰 바람 뒤는 고요하다,큰일을 치르느라고 들끓던 분위기가 일이 끝나고 잠잠하여짐을 비유적으로 이르는 말.
큰 산 넘어 평지 본다,고생을 이겨 내면 즐거운 날이 옴을 비유적으로 이르는 말.
큰 산이 평지 된다,"자연이나 사회의 변화가 몹시 심함을 비유적으로 이르는 말.,세상의 모든 것이 덧없이 변천함을 이르는 말."
큰 소 잃고 송아지도 잃고,크고 작게 이중으로 손해를 입었다는 말.
큰 소 큰 소 하며 꼴 아니 준다, 먹을 것을 아이들에게만 주고 어른들은 잘 돌보지 아니한다는 말.
큰 소가 나가면 작은 소가 큰 소 노릇 한다,윗사람이 없으면 아랫사람이 그 일을 대신할 수 있음을 비유적으로 이르는 말.
큰 쌀독 열어 놓고 손님 대접한다,아주 후하게 인심을 씀을 비유적으로 이르는 말.
큰 집 무너지는 데 기둥 하나도 버티지 못한다,큰 것이 망하거나 무너질 때에는 작은 힘으로 막기 어려움을 비유적으로 이르는 말.
큰 집이 기울어도 삼 년 간다,본래 부자이던 사람은 망했다 하더라도 얼마 동안은 그럭저럭 살아 나갈 수 있음을 비유적으로 이르는 말.
큰 호박은 얻어먹고 작은 후추알은 사 먹는다,물건의 가치는 크고 작은 것으로 정할 수 없음을 비유적으로 이르는 말.
큰무당이 있으면 작은 무당은 춤을 안 춘다,기술이 나은 사람 앞에서는 기술이 못한 사람이 앞에 나서기를 꺼려함을 비유적으로 이르는 말.
큰북에서 큰 소리 난다,크고 훌륭한 데서라야 무엇이나 좋은 일이 생길 수 있음을 비유적으로 이르는 말.
큰손 쓰다,"증권 시장이나 부동산 시장 따위에서, 시세에 영향을 미칠 정도로 대규모의 거래를 하다."
큰어미 날 지내는 데 작은어미 떡 먹듯, 남이 불행한 일을 당하였는데 그 기회를 타서 자기의 이익만을 도모함을 비유적으로 이르는 말.
큰일 치른 집에 저녁거리 있고 큰굿 한 집에 저녁거리 없다,굿을 하는 데는 재물이 많이 들 뿐 아니라 무당이 모조리 가져간다는 것을 비유적으로 이르는 말.
큰일이면 작은 일로 두 번 치러라,어렵고 힘든 일은 한 번에 하는 것보다 조금씩 나누어서 하는 것이 낫다는 것을 비유적으로 이르는 말.
키 크고 속 없다, 키가 큰 데 비하여 생각이나 행동이 허술함을 이르는 말.
키 크면 속이 없고 키 작으면 자발없다,키 큰 사람은 실없고 싱거우며 키 작은 사람은 참을성이 없고 까분다는 말.
키 큰 놈의 집에서 내려 먹을 것 없다, 남과 다른 유리한 특징을 가지고 있음에도 불구하고 그것을 써먹을 형편이 되지 못함을 비유적으로 이르는 말.
키가 작다고 세 살 난 애기보다 더 작을가,무엇을 아무리 작거나 보잘것없다고 비난하여도 일정한 한도는 갖추고 있는 법임을 비유적으로 이르는 말.
키가 크다고 하늘의 별 딸가,"너무도 자신을 과신하여 허황된 꿈을 꾸거나, 남을 지나치게 추어올리는 경우를 비난조로 이르는 말."
타고난 복은 남 못 준다,모든 일이 뜻대로 척척 잘되어 가는 경우를 비유적으로 이르는 말.
탈이 자배기만큼 났다,일이 크게 벌어졌다.
턱 걸다,의거할 근거나 이유로 삼다.
턱 대다,어떤 사람을 믿고 의지로 삼다.
턱 떨어진 개 지리산 쳐다보듯,공연히 무엇을 바라보기만 하는 것을 비난조로 이르는 말.
턱 밑에 붙어 살아가다,남에게 아부하고 굴종하여 남이 시키는 대로 움직이며 살아간다는 말.
털도 내리쓸어야 빛이 난다,모든 물건은 순리대로 가꾸고 다루어야 함을 비유적으로 이르는 말.
털도 아니 난 것이 날기부터 하려 한다,쉽고 작은 일도 해낼 수 없으면서 어렵고 큰 일을 하려고 나섬을 이르는 말.
털도 안 뜯고 먹겠다 한다,"너무 성급히 행동함을 비유적으로 이르는 말.,사리를 돌보지 아니하고 남의 것을 통으로 먹으려 함을 비유적으로 이르는 말."
털도 없이 부얼부얼한 체한다,귀염성도 없으면서 귀염을 받으려고 아양을 부리는 모양을 비유적으로 이르는 말.
토 달다,어떤 말 끝에 그 말에 대하여 덧붙여 말하다.
토끼 입에 콩가루 먹은 것 같다,무엇을 먹은 흔적을 입가에 남기고 있다는 말.
토끼도 세 굴을 판다,무슨 일에서나 안전을 위하여 여러 가지 방도를 세워 두어야 한다는 말.
통 오르다,배추 따위의 속이 차차 커지다
트집 잡다,조그만 흠집을 들추어내거나 없는 흠집을 만들다.
틀 빼다,얄밉게 격식을 갖추다.
틀 잡다,일정한 형태나 구성을 갖추다.
틀 잡히다,격에 어울리게 틀이 갖추어지다.
틀 짓다,위엄을 보이려는 태도를 일부러 가지다.
틀 차리다,"일정한 격식이나 형식을 갖추다.,틀 있는 태도를 취하다."
틈 난 돌이 터지고 태 먹은 독이 깨진다, 어떤 탈이 있는 것은 반드시 결과적으로 실패를 가져온다는 말.
파리 한 섬을 다 먹었다 해도 실제로 먹지 않았으면 그만,남에게 모함을 듣더라도 실제로 자기에게 그런 일이 없다면 신경 쓸 필요가 없다는 말.
파리똥도 똥이다,약간의 차이는 있다 하더라도 그 본질은 다 같음을 비유적으로 이르는 말.
판돈 떼다,노름판을 벌이고 돈을 딴 사람에게서 얼마씩 떼어 가지다.
팔백 금으로 집을 사고 천 금으로 이웃을 산다,집을 정할 때는 집 자체보다도 주위의 이웃을 더 신중히 가려서 정해야 함을 비유적으로 이르는 말.
팔자가 사나우니까 의붓아들이 삼 년 맏이라,닥친 일이 여의치 못함을 탄식하여 이르는 말.
팔짱 끼고 보다,앞에서 벌어지고 있는 일을 나서서 해결하려 하지 아니하고 보고만 있다.
팥이 풀어져도 솥 안에 있다,손해를 본 것 같지만 따지고 보면 손해를 본 것이 없음을 비유적으로 이르는 말.
편포 짝이 되다,편포처럼 납작하게 하다.
평반에 물 담은 듯,안정되고 고요한 상태를 비유적으로 이르는 말.
평생을 살아도 임의 속은 모른다,임의 속을 짐작하기 어렵다는 말.
포수 집 개는 호랑이가 물어 가야 말이 없다,자신이 저지른 일로 화를 당하여야 남에게 트집을 잡지 못한다는 말.
포천 소 까닭이란다,남의 물음에 어물어물 얼버무리며 슬쩍 넘어가는 경우를 이르는 말.
푸둥지도 안 난 것이 날려고 한다,쉽고 작은 일도 해낼 수 없으면서 어렵고 큰 일을 하려고 나섬을 이르는 말.
푸른 하늘에 별 박히듯,어떤 물건이 빼곡히 박히거나 좍 깔린 모양을 비유적으로 이르는 말.
푸줏간에 든 소,궁지에서 벗어날 수 없는 처지를 비유적으로 이르는 말.
풀 끝에 앉은 새 몸이라,매우 불안한 처지에 있음을 비유적으로 이르는 말.
풀 끝의 이슬,인생이 풀 끝의 이슬처럼 덧없고 허무함을 비유적으로 이르는 말.
풀 방구리에 쥐 드나들듯, 매우 자주 드나드는 모양을 비유적으로 이르는 말.
풀 베기 싫어하는 놈이 단 수만 센다,일하기는 싫어하면서 그 성과만을 바람을 비꼬는 말.
풀 쑤어 개 좋은 일 하다,"애써 한 일을 남에게 빼앗기거나, 엉뚱한 사람에게 이로운 일을 한 결과가 되었음을 이르는 말."
풀끝 한 점 없다,전혀 아무것도 없음을 강조하여 이르는 말.
품 안의 자식,자식이 어렸을 때는 부모의 뜻을 따르지만 자라서는 제 뜻대로 행동하려 함을 비유적으로 이르는 말.
풍년에 못 지낸 제사 흉년에 지내랴,유리한 조건에서 하지 아니하던 일을 불리한 조건에서 굳이 할 필요가 없다는 말.
풍악 잡히다,풍악을 아뢰거나 연주하게 하다.
피 벗고 한 잎 찬다, 망측스러운 차림이나 격에 어울리지 아니하는 치장을 함을 비유적으로 이르는 말.
피겨죽에 강도, 곤란에 곤란이 겹침을 비유적으로 이르는 말.
피는 꽃도 한때다,한창 성한 것도 금방 쇠하게 됨을 비유적으로 이르는 말.
피땀 흘리다,온갖 힘과 정성을 쏟아 노력하다.
피로 물들이다,사상자가 많이 생기다.
피와 살을 바치다,어떤 일에 정신적ㆍ육체적 힘을 모두 기울여 희생하다.
피와 살이 되다,지식이나 영양분 따위가 완전히 소화되어 자기 것이 되다.
피천 한 닢 없다,가진 돈이 한 푼도 없다는 말.
피치 못할,어찌할 수 없는.
하나는 열을 꾸려도 열은 하나를 못 꾸린다,"한 사람이 잘되면 여러 사람을 돌보아 줄 수 있으나 여러 사람이 힘을 합하여 한 사람을 돌보아 주기는 힘들다는 말.,자식이 많아도 부모는 잘 거느리고 살아가나 자식들은 그렇지 못하다는 말."
하나를 부르면 열을 짚는다,한마디 말을 듣고도 여러 가지 사실을 미루어 알아낼 정도로 매우 총기가 있다는 말.
하나를 알면 백을 안다,"일부만 보고 전체를 미루어 안다는 말.,한마디 말을 듣고도 여러 가지 사실을 미루어 알아낼 정도로 매우 총기가 있다는 말."
하나를 통하여 백을 보여 주다,적은 것을 통하여 많은 것을 보여 주거나 알게 한다는 말.
하늘 높은 줄 모르다,"자기의 분수를 모르다.,출세 가도를 치달리다.,물가가 매우 높게 뛰다."
하늘 높은 줄은 모르고 땅 넓은 줄만 안다,키가 작고 뚱뚱한 사람을 농담조로 이르는 말.
하늘 울 때마다 벼락 칠까,어떤 결과를 가져올 수 있는 요소가 있더라도 모든 경우에 다 그런 결과가 나타나는 것은 아님을 비유적으로 이르는 말.
하늘 천 따 지,‘천자문’을 비유적으로 이르는 말.
하늘 천 하면 넘을 천 한다,알지도 못하면서 주제넘게 지레짐작한다는 말.
하늘도 끝 갈 날이 있다,무엇이나 끝이 있다는 말.
하늘도 사람 하자는 대로 하려면 칠 년 가물에 비 내려 줄 날 없다,이 사람 저 사람의 각각 다른 의견을 모두 받아들이다가는 아무 일도 할 수 없음을 비유적으로 이르는 말.
하늘도 한 귀퉁이부터 개인다,울적한 마음은 일시에 풀리지는 아니하나 시간이 지나면 점차 풀림을 비유적으로 이르는 말.
하늘에 돌 던지는 격," 자기에게 해가 돌아올 짓을 함을 비유적으로 이르는 말.,상대가 되지도 아니하는 보잘것없는 사람이 건드려도 꿈쩍도 아니 할 대상에게 무모하게 시비를 걸며 욕함을 비유적으로 이르는 말."
하늘을 보아야 별을 따지,"어떤 성과를 거두려면 그에 상당한 노력과 준비가 있어야 한다는 말.,무슨 일이 이루어질 기회나 조건이 전혀 없음을 이르는 말."
하늘의 별 따기,무엇을 얻거나 성취하기가 매우 어려운 경우를 비유적으로 이르는 말.
하늘이 만든 화는 피할 수 있으나 제가 만든 화는 피할 수 없다,자신이 저지른 잘못에 대한 대가는 피할 수 없다는 말.
하늘이 주는 얼은 피할 도리 있어도 제가 지은 얼은 피할 도리 없다,자신이 저지른 잘못에 대한 대가는 피할 수 없다는 말.
하던 지랄도 멍석 펴 놓으면 안 한다,일껏 잘하던 일도 더욱 잘하라고 떠받들어 주면 안 한다는 말.
하라는 파총에 감투 걱정한다,대단하지 아니한 일을 하려고 하면서 공연히 지나친 걱정을 자랑삼아 한다는 말.
하루 물림이 열흘 간다, 무슨 일이나 뒤로 미루지 말라고 경계하여 이르는 말.
하루 세 끼 밥 먹듯,아주 예사로운 일로 생각함을 이르는 말.
하루 은혜 백 날에 갚지 못한다,"은혜를 입기는 쉬워도 갚기는 어려움을 이르는 말.,좀처럼 갚기 힘든 큰 은혜를 이르는 말."
하루 죽을 줄은 모르고 열흘 살 줄만 안다,언제 죽을지 모르는 덧없는 세상에서 자기만은 얼마든지 오래 살 것처럼 행동하는 사람을 보고 이르는 말.
하루 화근은 식전 취한 술이요 일 년 화근은 발에 끼는 갖신이요 일생 화근은 성품 고약한 안해라, 성품이 나쁜 아내를 얻지 아니하도록 경계하여 이르는 말.
하루가 여삼추, 짧은 시간이 매우 길게 느껴짐을 비유적으로 이르는 말.
하룻강아지 범 무서운 줄 모른다,철없이 함부로 덤비는 경우를 비유적으로 이르는 말.
하룻밤을 자도 헌 각시,"물건은 일단 사용하면 헌 것으로 간주된다는 말.,한 번의 작은 실수라도 있으면 지조를 지킨 사람으로 볼 수 없다는 말."
하룻비둘기 재를 못 넘는다,경험이나 실력이 없이는 큰일을 하기 어렵다는 말.
하면 하고 말면 마는 식,꼭 해야 되겠다는 각오 없이 하고 싶으면 하고 하기 싫으면 안 하는 무사안일한 태도.
하자고 결심하면 못 해낼 일이 없다,결심과 각오만 단단하다면 무슨 일이든 성사할 수 있다는 말.
하지도 못할 놈이 잠방이 벗는다,어떤 일을 할 실력도 자신도 없는 사람이 그 일을 하려고 덤비는 경우를 비꼬는 말.
학춤 추이다,남의 팔이나 덜미를 치들고 혼을 내다.
한 가랑이에 두 다리 넣는다,정신없이 매우 서두르는 모양을 이르는 말.
한 갯물이 열 갯물 흐린다,한 사람의 나쁜 행동이 사회 전체에 악영향을 끼친다는 말.
한 계단씩 밟아 올라가다,낮은 데서부터 높은 데로 순차적으로 올라간다는 말.
한 굽 죽이다,하여야 할 많은 일이나 여러 가지 일 중에서 큰 부분을 해 버려 일의 긴장도를 떨어뜨리다.
한 귀로 흘리다,듣고도 마음에 두지 아니하고 무시하다.
한 냥 장설에 고추장이 아홉 돈어치라, 전체에 비하여 어느 한 부분에 지나치게 많은 비용이 든 경우에 이르는 말.
한 냥 추렴에 닷 돈 냈다, 자기가 치러야 할 몫을 제대로 치르지 아니하고 여럿이 하는 일에 염치없이 참가하여 좀스럽게 이득을 얻는 경우에 이르는 말.
한 냥짜리 굿하다가 백 냥짜리 징 깨뜨린다,쓸데없이 공연한 일을 벌여 놓았다가 굉장히 큰 손해를 보게 되는 경우에 이르는 말.
한 노래로 긴 밤 새울까,"한 가지 일로만 허송세월하는 것을 나무라는 말.,어떤 일을 그만둘 때가 되면 깨끗이 그만두고 새 일을 시작하여야 한다는 말."
한 놈의 계집은 한 덩굴에 열린다,한 남자의 처첩이 비록 여럿이라도 집안의 규율과 남편의 성질에 따라 모두 비슷해진다는 말.
한 닢 주고 보라 하면 두 닢 주고 막겠다,아주 보기 흉하거나 볼 필요가 없음을 비유적으로 이르는 말.
한 닢도 없는 놈이 두 돈 오 푼 바란다,없는 사람이 바라기는 크게 바란다는 말.
한 다리가 천 리,촌수나 친분은 멀어질수록 더욱 사이가 벌어진다는 말.
한 달 싸우기 위해 팔 년 양병한다,무슨 일이나 확실한 성공을 거두기 위하여서는 준비에 많은 공을 들여야 한다는 말.
한 달 잡고 보름은 못 본다,큰 것만 알고 작은 것은 모른다는 말.
한 달에 보숭이 세 번 떡국 세 번 한 집은 망한다, 낭비하지 말고 살림살이를 알뜰히 하여야 한다는 말.
한 달이 크면 한 달이 작다,한 번 좋은 일이 있으면 다음에는 궂은일도 있는 것처럼 세상사는 좋고 나쁜 일이 돌고 돈다는 말.
한 돈 추렴에 돈반 낸 놈 같다, 여럿이 모인 자리에서 남이 얘기할 사이도 없이 혼자 떠들어 대는 경우에 이르는 말.
한 마리 고기 다 먹고 말 냄새 난다 한다," 남의 신세나 덕을 많이 지고도 비방하거나 모략하는 경우에 이르는 말.,이익이 있을 때는 정신없이 찾아 헤매다가 제 욕심을 채우고 나면 흉을 보고 돌아가는 경우를 비유적으로 이르는 말."
한 마리 고기가 온 강물을 흐린다,한 사람의 나쁜 행동이 사회 전체에 악영향을 끼친다는 말.
한 말 주고 한 되 받는다,손해 보는 짓만 하는 경우를 비유적으로 이르는 말.
한 말 했다가 본전도 못 찾는다,말을 했다가 아무런 소득도 없이 핀잔만 받게 되는 경우를 비유적으로 이르는 말.
한 말에 두 안장이 없다,한 남편에게는 한 아내만 있어야 한다는 말.
한 모태 겪다,욕이나 매질 따위를 한바탕 사정없이 당하다.
한 바리에 실어도 짝 지지 않다,부정적인 인물과 관련하여 두 사람의 하는 짓이나 마음보가 누가 낫고 못한지를 가릴 수 없을 만큼 엇비슷한 모양을 이르는 말.
한 바리에 실었으면 꼭 맞겠다,하는 짓이 누가 낫고 못함이 없이 똑같다는 말.
한 바리에 실으면 바가 터지겠다,"하는 말이나 행동이 분수없이 지나침을 비유적으로 이르는 말.,서로 의가 맞지 아니하여 티격태격함을 비유적으로 이르는 말."
한 바리에 실을 짝이 없다,부정적인 측면에서 상대가 될 만한 대상이 없음을 이르는 말.
한 밥그릇에 두 술이 없다,한 남편에게는 한 아내만 있어야 한다는 말.
한 밥에 오르고 한 밥에 내린다,잘 먹고 못 먹는 데 따라 살이 오르고 내리고 한다는 말.
한 방 먹다,"세게 한 번 맞다.,말 따위로 상대방으로부터 충격을 받다."
한 밭머리에 태를 묻었다,한 동네에서 자라나 매우 친한 사이임을 비유적으로 이르는 말.
한 번 가도 화냥년 두 번 가도 화냥년,한 번 잘못하나 두 번 잘못하나 욕 얻어먹기는 마찬가지라는 말.
한 번 똥 눈 개가 일생 눈다고 한다," 한 번 실수하여 오점을 남기면 그것이 평생 가는 법임을 교훈적으로 이르는 말.,한 번 나쁘게 보면 계속 나쁘게 봄을 부정적으로 이르는 말."
한 번 벼르지 말고 열 번 치라,말로만 벼르지 말고 실제 행동으로 옮기라는 말.
한 번 속지 두 번 안 속는다,처음에는 모르고 속을 수 있으나 두 번째는 그렇지 아니하다는 말.
한 부모는 열 자식을 거느려도 열 자식들은 한 부모를 못 거느린다,자식이 많아도 부모는 잘 거느리고 살아가나 자식들은 그렇지 못하다는 말.
한 불당에 앉아 내 사당 네 사당 한다,한집안에서 내 것 네 것을 가리며 제 이익을 찾으려 하는 경우를 비유적으로 이르는 말.
한 사람 가는 길로 가지 말고 열 사람 가는 길로 가라,여러 사람의 의견에 따라 일을 처리하는 것이 낭패가 없음을 이르는 말.
한 사람의 덕을 열이 본다,한 사람이 잘되면 그 덕을 여러 명이 입게 된다는 말.
한 사람의 떡을 열이 본다, 한 가지 이익을 놓고 여러 사람이 노리고 있음을 비유적으로 이르는 말.
한 살 더 먹고 똥 싼다,나이를 더 먹어 가면서 철없는 짓을 하는 경우를 비꼬아 이르는 말.
한 손 떼다,하던 일에서 좀 물러앉다. 또는 소홀히 하다.
한 손 접히다,자기 자신을 한 단계 낮추다.
한 손뼉이 울지 못한다,상대가 없이 혼자서는 싸움이 되지 아니한다는 말.
한 손으로는 손뼉을 못 친다,상대가 없이 혼자서는 싸움이 되지 아니한다는 말.
한 수렁에 두 바퀴 끼듯,좁은 데서 서로 밀치며 다투는 경우를 비유적으로 이르는 말.
한 아들에 열 며느리,"부모들이 흔히 아들이 여러 첩을 거느리는 것을 말리지 아니할 때 쓰는 말.,아들이 첩을 여럿 얻어도 그 며느리들이 밉지 아니하다는 말."
한 알 까먹은 새도 날린다, 사소한 재물을 침범하는 것도 용서하지 말고 단호히 대처하라고 이르는 말.
한 어깨에 두 지게 질까,한 사람이 동시에 두 가지 일을 할 수 없다는 말.
한 어미 자식도 아롱이다롱이, 세상일은 무엇이나 똑같은 것이 없다는 말.
한 외양간에 암소가 두 마리,같은 것끼리만 있어서는 서로 도움이 될 수 없다는 말.
한 입 건너고 두 입 건넌다,소문이 차차 널리 퍼짐을 이르는 말.
한 입으로 두말하기,한 가지 일에 대하여 말을 이렇게 하였다 저렇게 하였다 한다는 말.
한 입으로 묻지 말고 두 눈으로 보아라,"남에게 묻지 말고 스스로 잘 살펴보라는 말.,일이 벌어지고 있는 현장에서 쓸데없이 입을 놀리지 말고 가만히 보고 있으라고 경계하여 이르는 말."
한 입으로 온 까마귀질 한다,말이 이랬다저랬다 하는 사람을 두고 이르는 말.
한 자 땅 밑이 저승이다,죽음이나 저승이 먼 데 있는 것이 아니라는 말.
한 자루에 양식 넣어도 송사한다,매우 친한 사이에도 송사가 일어날 수 있다는 말.
한 자를 배워주자면 천 자를 알아야 한다,남을 가르치려면 깊고 넓은 지식이 필요하다는 말.
한 잔 술에 눈물 나고 반 잔 술에 웃음 난다,사람을 사귐에 있어서 서로 대하는 태도나 방법에 따라 섭섭하여지기도 하고 기분이 좋아지기도 한다는 말.
한 잔 술에 눈물 난다,사람의 감정은 사소한 일에 차별을 두는 데서도 섭섭한 생각이 생길 수 있다는 말.
한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말.
한 줌도 못 되다,한 줌 안에도 채 차지 못할 정도로 매우 적다.
한 치 벌레에도 오 푼 결기가 있다,비록 보잘것없는 존재일지라도 마구 무시하거나 억누르면 반발과 반항이 있다는 말.
한 푼 돈을 우습게 여기면 한 푼 돈에 울게 된다,아무리 적은 돈이라도 하찮게 여기지 말라고 경계하여 이르는 말.
한 푼 아끼다 백 냥 잃는다,조그마한 것을 아끼려다가 오히려 큰 손해를 봄을 비유적으로 이르는 말.
한 푼 장사에 두 푼을 밑져도 팔아야 한다,장사는 아무튼 팔고 보아야 한다는 말.
한 푼짜리 푸닥거리에 두부가 오 푼,주된 것보다 부차적인 것이 오히려 비용이 더 많이 듦을 비유적으로 이르는 말.
한 하늘을 이고 살 수 없는 원수, 매우 원한이 사무친 원수를 이르는 말.
한 홰 닭이 한꺼번에 운다,같은 운명에 처한 사람끼리 같은 행동을 한다는 말.
한가마밥 먹은 사람이 한울음 운다,처지가 같고 같은 환경의 영향을 받은 사람은 뜻이나 행동이 서로 통한다는 말.
한가마밥을 먹고 한자리에서 자다,한 가정이나 한 집단 속에서 차별이 없이 똑같이 지내는 경우를 비유적으로 이르는 말.
한가마밥을 먹다,한 가정이나 한 집단 속에서 차별이 없이 똑같이 지내다.
한강 물 다 먹어야 짜냐,무슨 일을 처음에 조금만 시험하여 보면 전체적인 것을 짐작하여 볼 수 있음을 이르는 말.
한강에 배 지나간 자리 있나,어떤 행동의 흔적이 남지 아니한다는 말.
한강이 녹두죽이라도 쪽박이 없어 못 먹겠다,사람이 몹시 게으르고 무심함을 놀림조로 이르는 말.
한날한시에 난 손가락도 짧고 길다,온갖 사물은 다 고유의 특성을 가지고 있어서 구별이 된다는 말.
한데 나앉다,집이 없어 한데에 살림을 펴다.
한데밤 자다,한데서 밤잠을 자다.
한라산이 금덩어리라도 쓸 놈 없으면 못 쓴다,아무리 귀중한 재물일지라도 그것을 쓸 줄 아는 사람이 있어야 제 진가를 발휘한다는 말.
한모 막다,어떤 일에서 한 부분을 맡아 해 나가다.
한밥에 들다,"누에가 마지막 잠을 자고 나서 한창 뽕을 많이 먹다.,음식을 게걸스럽게 많이 먹다."
한번 엎지른 물은 다시 주워 담지 못한다,일단 저지른 잘못은 회복하기 어렵다는 말.
한성부에 대가리 터진 놈 달려들 듯,여러 사람이 숨가쁘게 급히 달려드는 경우를 비유적으로 이르는 말.
한숨 들이다,어떤 일을 하다가 잠깐 쉬다.
한시를 참으면 백 날이 편하다, 격분하더라도 참는 것이 제일이라는 말.
한시반시 새롭다,"시간이 매우 긴요하여 그 시간이 지나가는 것이 매우 아쉽다.,짧은 시간이 몹시 괴롭고 길게 느껴지다.,사물의 변화가 매우 두드러지다."
한을 가슴에 박다,영영 풀지 못한 한을 품게 하다.
한집안에 김 별감 성을 모른다,같이 생활하는 친숙한 사이에서 응당 알고 있어야 할 것을 모르는 경우를 비유적으로 이르는 말.
한집에 감투쟁이 셋이 변,무슨 일에 나서서 주장하는 사람이 많으면 도리어 일이 잘 안된다는 말.
할 말을 잊다,놀랍거나 어처구니없는 일을 당하여 기가 막히다.
할 일 없으면 낮잠이나 자라,자신과 상관없는 일에 쓸데없이 참견하는 경우를 비꼬는 말.
할 일이 없거든 오금이나 긁어라, 일 없이 그저 노는 것보다 되든 안 되든 무엇이나 하는 것이 낫다는 말.
할아버지 감투를 손자가 쓴 것 같다,의복 따위가 너무 커서 보기에 우스운 경우를 비유적으로 이르는 말.
할아버지 진지상은 속여도 가을 밭고랑은 못 속인다, 농사를 잘 지었는가 못 지었는가 하는 것은 가을에 가서 드러난다는 말.
함정에서 뛰어 난 범,거의 죽게 된 위험한 고비에서 빠져나와 다시 살게 되어 좋아서 날뛰는 모습을 비유적으로 이르는 말.
함지 밥 보고 마누라 내쫓는다, 여자가 살림을 헤프게 하면 쫓겨난다는 말.
핫바지에 똥 싼 비위,비위가 매우 좋은 사람을 비유적으로 이르는 말.
항우는 고집으로 망하고 조조는 꾀로 망한다,고집 세우는 사람과 꾀부리는 사람을 경계하는 말.
항우도 낙상할 적이 있고 소진도 망발할 적이 있다,아무리 능력이 있는 사람이라도 간혹 실수를 할 수 있다는 말.
햇비둘기 재 넘을까,경험이나 실력이 없이는 큰일을 하기 어렵다는 말.
행사 후에 비녀 빼어 갈 놈,불량하고 의리가 없는 사람을 비유적으로 이르는 말.
행차 뒤에 나팔, 제때 안 하다가 뒤늦게 대책을 세우며 서두름을 핀잔하는 말.
향기가 있는 꽃은 가시 돋친 나무에 핀다,"실속 있고 가치 있는 것이 겉보기에는 초라하거나 나빠 보임을 비유적으로 이르는 말.,속이 훌륭한 것은 자신을 보호할 수단을 가지고 있다는 말.,여자의 교태 속에 음흉한 계교가 숨어 있음을 경계하는 말."
향랑각시 속거천리,"음력 2월 초하룻날에 백지에 먹으로 써서 기둥, 벽, 서까래 따위에 붙이는 말. 이것을 거꾸로 붙이면 집 안에 노래기가 없어진다고 한다."
향불 피우다,절에서 담배를 피우다.
허리를 못 펴다,남에게 굽죄여 지내다.
허탕 치다,어떤 일을 시도하였다가 아무 소득도 얻지 못하다.
허파에 쉬슨 놈,생각이 없고 주견이 서지 못한 사람을 비꼬는 말.
헌 갓 쓰고 똥 누기,체면을 세우기는 이미 글렀으니 좀 염치없는 짓을 한다고 하여도 상관이 없다는 말.
헌 고리도 짝이 있다,보잘것없는 사람도 제짝이 있다는 말.
헌 누더기 속에 쌍동자 섰다,겉보기에는 초라하고 허술하나 속은 엉큼하고 의뭉스럽다는 말.
헌 배에 물 푸기,근본적인 대책을 세우지 아니하고 드러난 문제만 형식적으로 처리한다면 문제가 해결되지 않음을 비유적으로 이르는 말.
헌 섬에 곡식이 더 든다,늙은 사람이 밥을 더 많이 먹음을 비유적으로 이르는 말.
헌 옷이 있어야 새 옷이 있다,헌것이 있어야 새것이 좋은 줄을 알 수 있다는 말.
헌 정승만치도 안 여긴다,사람을 지나치게 무시하고 깔본다는 말.
헌 집 고치기,일한 보람 없이 자꾸 일거리가 생김을 비유적으로 이르는 말.
헌 체로 술 거르듯,말을 막힘없이 술술 하는 모양을 비유적으로 이르는 말.
헌머리에 이 모이듯,이익이 있는 곳에 많은 사람이 떼를 지어 몰림을 비유적으로 이르는 말.
헌머리에 이 박이듯,많은 사람이나 물건이 잔뜩 들어박힌 모양을 비유적으로 이르는 말.
헌신짝 버리듯,요긴하게 쓴 다음 아까울 것이 없이 내버리다.
혀 꼬부라지다,"병이 들거나 술에 취하여 발음이 똑똑하지 아니하다.,알아듣지 못하는 외국어로 말하다."
혀 밑에 죽을 말 있다,말을 잘못하면 재앙을 받게 되니 말조심을 하라는 말.
혀 삐뚤어진 소리,못마땅하거나 토라져서 불평하는 투나 비꼬는 투로 하는 말.
